country,year,bird_index,target_next_bird_index,organic_farming_pct,pesticide_kg_per_ha,protected_terrestrial_pct,nitrogen_fertilizer_kg_per_ha,target_next_change
CH,2004,94.03,96.78,,,,,2.75
CH,2005,96.78,94.98,11.0,,,,-1.7999999999999972
CH,2006,94.98,96.05,,,,,1.0699999999999932
CH,2007,96.05,92.32,,,,,-3.730000000000004
CH,2008,92.32,87.66,,,,,-4.659999999999997
CH,2009,87.66,94.09,,,,,6.430000000000007
CH,2010,94.09,97.04,,,,,2.950000000000003
CH,2011,97.04,102.88,,,,,5.839999999999989
CH,2012,102.88,94.97,11.57,,,,-7.909999999999997
CH,2013,94.97,99.13,12.19,1.4897096244546055,,29.894486200783668,4.159999999999997
CH,2014,99.13,100.0,12.73,1.4629716517476836,,33.813449365014876,0.8700000000000045
CH,2015,100.0,101.87,12.91,1.449129532862432,,30.065908673161253,1.8700000000000045
CH,2016,101.87,101.0,13.4,1.4146195544390825,,32.061876115554966,-0.8700000000000045
CH,2017,101.0,99.48,14.37,1.329422440058286,,34.17671214730428,-1.519999999999996
CH,2018,99.48,105.65,15.4,1.3389176539223941,,31.75571304503477,6.170000000000002
CH,2019,105.65,117.65,16.27,1.2747536545390603,,27.869385480050166,12.0
CH,2020,117.65,119.19,16.98,1.2505955343220199,,28.532563617663648,1.539999999999992
CH,2021,119.19,115.61,,1.474927413943167,,31.492714818186045,-3.5799999999999983
CH,2022,115.61,116.39,,1.4477151355144873,,26.868963673428468,0.7800000000000011
CH,2023,116.39,,18.22,1.0256387759612615,,23.642245276574084,
CY,2006,100.0,81.0,1.2,,,,-19.0
CY,2007,81.0,68.0,1.5,,,,-13.0
CY,2008,68.0,65.0,1.6,,,,-3.0
CY,2009,65.0,81.0,2.6,,,,16.0
CY,2010,81.0,85.0,2.8,,,,4.0
CY,2011,85.0,91.0,2.9,,17.4,,6.0
CY,2012,91.0,123.0,3.38,,17.4,,32.0
CY,2013,123.0,98.0,4.03,10.450135349575282,17.7,65.81723140110147,-25.0
CY,2014,98.0,117.0,3.63,10.230019620667102,34.2,62.53386900868915,19.0
CY,2015,117.0,132.0,3.72,,35.1,59.56353285364118,15.0
CY,2016,132.0,110.0,4.94,,37.0,71.88139969726649,-22.0
CY,2017,110.0,117.0,4.61,,37.0,64.41304526410909,7.0
CY,2018,117.0,123.0,4.55,8.936929930534582,37.0,59.075807913017215,6.0
CY,2019,123.0,120.0,4.98,9.81869166334264,37.6,62.41723175109693,-3.0
CY,2020,120.0,110.0,4.63,9.317404914697136,37.6,,-10.0
CY,2021,110.0,81.0,6.43,9.065684020364593,37.6,,-29.0
CY,2022,81.0,,6.31,8.22375600618943,37.8,,
CZ,1990,112.68,121.44,,,,,8.759999999999991
CZ,1991,121.44,129.46,,,,,8.02000000000001
CZ,1992,129.46,135.42,,,,,5.9599999999999795
CZ,1993,135.42,138.75,,,,,3.3300000000000125
CZ,1994,138.75,138.06,,,,,-0.6899999999999977
CZ,1995,138.06,130.19,,,,,-7.8700000000000045
CZ,1996,130.19,117.86,,,,,-12.329999999999998
CZ,1997,117.86,106.83,,,,,-11.030000000000001
CZ,1998,106.83,100.71,,,,,-6.1200000000000045
CZ,1999,100.71,100.0,,,,,-0.7099999999999937
CZ,2000,100.0,98.19,,,,,-1.8100000000000023
CZ,2001,98.19,96.46,,,,,-1.730000000000004
CZ,2002,96.46,94.83,,,,,-1.6299999999999955
CZ,2003,94.83,93.25,7.0,,,,-1.5799999999999983
CZ,2004,93.25,91.67,7.2,,,,-1.5799999999999983
CZ,2005,91.67,90.11,7.1,,,,-1.5600000000000023
CZ,2006,90.11,88.52,7.2,,,,-1.5900000000000034
CZ,2007,88.52,86.87,8.2,,,,-1.6499999999999915
CZ,2008,86.87,85.16,9.0,,,,-1.710000000000008
CZ,2009,85.16,83.39,10.6,,,,-1.769999999999996
CZ,2010,83.39,81.59,12.4,,,,-1.7999999999999972
CZ,2011,81.59,79.79,13.1,,21.4,,-1.7999999999999972
CZ,2012,79.79,78.0,13.29,,21.4,,-1.7900000000000063
CZ,2013,78.0,76.2,13.47,1.7576154501562056,21.4,94.18233456404431,-1.7999999999999972
CZ,2014,76.2,74.37,13.44,1.610945055695252,21.4,92.63588162341135,-1.8299999999999983
CZ,2015,74.37,72.54,13.68,1.8063367985986285,21.8,113.67138751817546,-1.8299999999999983
CZ,2016,72.54,70.72,14.0,1.7033771020898363,21.9,116.7120978906727,-1.8200000000000074
CZ,2017,70.72,68.93,14.09,1.4904527550669775,21.9,112.90790695561053,-1.789999999999992
CZ,2018,68.93,67.16,14.76,1.4697112300679491,21.9,99.8461634527506,-1.7700000000000102
CZ,2019,67.16,65.41,15.19,1.4339516298394284,21.9,94.22929567551921,-1.75
CZ,2020,65.41,63.67,15.33,1.2372054020153977,21.9,81.00071796065122,-1.7399999999999949
CZ,2021,63.67,61.94,15.55,1.2691472604680152,21.9,87.7233837611196,-1.730000000000004
CZ,2022,61.94,60.23,15.97,1.5700001699514505,21.9,92.03324250372476,-1.7100000000000009
CZ,2023,60.23,,16.2,1.2939537291938399,21.9,67.22451554856397,
DE,1990,143.37,136.48,,,,,-6.890000000000015
DE,1991,136.48,126.61,,,,,-9.86999999999999
DE,1992,126.61,134.59,,,,,7.980000000000004
DE,1993,134.59,135.08,,,,,0.4900000000000091
DE,1994,135.08,116.73,,,,,-18.35000000000001
DE,1995,116.73,121.72,,,,,4.989999999999995
DE,1996,121.72,107.02,,,,,-14.700000000000003
DE,1997,107.02,100.38,,,,,-6.640000000000001
DE,1998,100.38,108.29,,,,,7.910000000000011
DE,1999,108.29,100.0,,,,,-8.290000000000006
DE,2000,100.0,95.43,3.2,,,,-4.569999999999993
DE,2001,95.43,87.75,3.7,,,,-7.680000000000007
DE,2002,87.75,81.63,4.1,,,,-6.1200000000000045
DE,2003,81.63,84.78,4.3,,,,3.1500000000000057
DE,2004,84.78,83.14,4.5,,,,-1.6400000000000006
DE,2005,83.14,76.48,4.7,,,,-6.659999999999997
DE,2006,76.48,76.96,4.9,,,,0.47999999999998977
DE,2007,76.96,76.84,5.1,,,,-0.11999999999999034
DE,2008,76.84,72.3,5.4,,,,-4.540000000000006
DE,2009,72.3,65.02,5.6,,,,-7.280000000000001
DE,2010,65.02,60.25,5.9,,,,-4.769999999999996
DE,2011,60.25,61.77,6.1,,37.1,,1.5200000000000031
DE,2012,61.77,57.74,5.76,,37.3,,-4.030000000000001
DE,2013,57.74,57.43,6.04,2.6063549426333568,37.3,98.35253539006924,-0.3100000000000023
DE,2014,57.43,60.84,6.18,2.7550874150961446,37.4,104.10791160432412,3.4100000000000037
DE,2015,60.84,61.09,6.34,2.860049968022856,37.4,102.73288027398733,0.25
DE,2016,61.09,54.84,6.82,2.8146755788197297,37.6,107.70489047896318,-6.25
DE,2017,54.84,53.46,6.82,2.8948348744254613,37.6,96.56049810334805,-1.3800000000000026
DE,2018,53.46,54.72,7.34,2.701132165021538,37.8,80.22583222690162,1.259999999999998
DE,2019,54.72,,7.75,2.710967058682347,37.8,79.56438257530301,
DK,1990,129.45,118.91,,,,,-10.539999999999992
DK,1991,118.91,110.4,,,,,-8.509999999999991
DK,1992,110.4,109.81,,,,,-0.5900000000000034
DK,1993,109.81,111.84,,,,,2.030000000000001
DK,1994,111.84,109.54,,,,,-2.299999999999997
DK,1995,109.54,109.09,,,,,-0.45000000000000284
DK,1996,109.09,103.51,,,,,-5.579999999999998
DK,1997,103.51,101.78,,,,,-1.730000000000004
DK,1998,101.78,104.06,,,,,2.280000000000001
DK,1999,104.06,100.0,,,,,-4.060000000000002
DK,2000,100.0,103.69,5.9,,,,3.6899999999999977
DK,2001,103.69,92.91,6.3,,,,-10.780000000000001
DK,2002,92.91,90.76,6.5,,,,-2.1499999999999915
DK,2003,90.76,94.52,6.3,,,,3.759999999999991
DK,2004,94.52,83.82,5.8,,,,-10.700000000000003
DK,2005,83.82,86.76,4.9,,,,2.940000000000012
DK,2006,86.76,82.17,5.1,,,,-4.590000000000003
DK,2007,82.17,80.52,5.0,,,,-1.6500000000000057
DK,2008,80.52,91.23,5.6,,,,10.710000000000008
DK,2009,91.23,82.89,5.9,,,,-8.340000000000003
DK,2010,82.89,76.21,6.1,,,,-6.680000000000007
DK,2011,76.21,74.46,6.1,,15.2,,-1.75
DK,2012,74.46,75.76,7.31,,15.2,,1.3000000000000114
DK,2013,75.76,82.01,6.44,1.5971923281832712,15.2,73.67379557043915,6.25
DK,2014,82.01,80.05,6.25,0.686989064856712,15.2,70.43740573152338,-1.960000000000008
DK,2015,80.05,78.49,6.33,0.9813125961374124,15.2,77.97337587117111,-1.5600000000000023
DK,2016,78.49,74.13,7.81,0.9854409355834064,15.2,91.70164946097292,-4.359999999999999
DK,2017,74.13,69.77,8.6,1.0284289134648272,15.3,89.8764869076122,-4.359999999999999
DK,2018,69.77,67.27,9.75,1.0051760683760684,15.3,85.2372269705603,-2.5
DK,2019,67.27,76.1,11.09,1.0132772277227722,15.3,85.77303884234577,8.829999999999998
DK,2020,76.1,72.38,11.45,1.2089541984732823,15.3,89.11259541984732,-3.719999999999999
DK,2021,72.38,61.85,11.58,1.1360101588756493,15.3,77.2143293614421,-10.529999999999994
DK,2022,61.85,66.84,11.43,1.2409336000762123,15.3,74.71696675240545,4.990000000000002
DK,2023,66.84,,11.38,1.2633003300330032,15.4,74.54930464144681,
EE,1990,122.15,111.09,,,,,-11.060000000000002
EE,1991,111.09,113.72,,,,,2.6299999999999955
EE,1992,113.72,104.89,,,,,-8.829999999999998
EE,1993,104.89,94.64,,,,,-10.25
EE,1994,94.64,82.13,,,,,-12.510000000000005
EE,1995,82.13,93.46,,,,,11.329999999999998
EE,1996,93.46,98.66,,,,,5.200000000000003
EE,1997,98.66,94.43,,,,,-4.22999999999999
EE,1998,94.43,88.78,,,,,-5.650000000000006
EE,1999,88.78,100.0,,,,,11.219999999999999
EE,2000,100.0,95.85,,,,,-4.150000000000006
EE,2001,95.85,107.23,,,,,11.38000000000001
EE,2002,107.23,99.43,,,,,-7.799999999999997
EE,2003,99.43,101.67,,,,,2.239999999999995
EE,2004,101.67,105.05,7.2,,,,3.3799999999999955
EE,2005,105.05,106.77,7.2,,,,1.7199999999999989
EE,2006,106.77,104.32,9.6,,,,-2.450000000000003
EE,2007,104.32,100.96,8.7,,,,-3.3599999999999994
EE,2008,100.96,91.63,9.6,,,,-9.329999999999998
EE,2009,91.63,85.23,11.0,,,,-6.3999999999999915
EE,2010,85.23,88.61,12.8,,,,3.3799999999999955
EE,2011,88.61,89.92,14.1,,19.6,,1.3100000000000023
EE,2012,89.92,96.14,14.86,,19.6,,6.219999999999999
EE,2013,96.14,97.84,15.65,,19.7,34.8472926804017,1.7000000000000028
EE,2014,97.84,84.42,15.96,,19.7,36.731637258924906,-13.420000000000002
EE,2015,84.42,77.11,15.68,,19.8,36.509661835748794,-7.310000000000002
EE,2016,77.11,76.1,18.02,,19.9,36.26271786031031,-1.0100000000000051
EE,2017,76.1,74.07,20.01,,20.0,38.02389415682959,-2.030000000000001
EE,2018,74.07,74.71,20.98,,20.1,39.47210740654229,0.6400000000000006
EE,2019,74.71,68.99,22.33,,20.7,41.92389797755992,-5.719999999999999
EE,2020,68.99,,22.41,,20.8,42.09810646804538,
EL,2007,100.0,95.06,7.0,,,,-4.939999999999998
EL,2008,95.06,96.71,7.8,,,,1.6499999999999915
EL,2009,96.71,91.07,8.5,,,,-5.640000000000001
EL,2010,91.07,100.25,8.4,,,,9.180000000000007
EL,2011,100.25,94.84,5.2,,34.6,,-5.409999999999997
EL,2012,94.84,94.29,9.01,,34.6,,-0.5499999999999972
EL,2013,94.29,107.34,7.36,2.026512553135982,34.6,35.014885748047206,13.049999999999997
EL,2014,107.34,90.91,6.71,0.7227736964370265,34.6,30.69180575284091,-16.430000000000007
EL,2015,90.91,90.79,7.69,0.7898590436739731,34.6,31.054989785910415,-0.11999999999999034
EL,2016,90.79,93.51,6.51,0.8948517976310436,34.6,35.17672110576649,2.719999999999999
EL,2017,93.51,89.34,7.96,0.8779024654386377,34.6,37.29638248360482,-4.170000000000002
EL,2018,89.34,95.11,9.32,0.9191422168852412,34.6,33.932356917956525,5.769999999999996
EL,2019,95.11,88.61,10.26,0.9445185489911475,34.6,36.8201064155952,-6.5
EL,2020,88.61,117.18,10.15,0.9304991722860093,34.6,38.52761830994472,28.570000000000007
EL,2021,117.18,86.76,12.22,0.9054038266056121,34.7,40.11306491624857,-30.42
EL,2022,86.76,83.31,,0.7424573122147011,34.7,31.168040569220114,-3.450000000000003
EL,2023,83.31,,,0.7982246806867294,34.6,33.02305946316373,
ES,1998,107.39,107.41,,,,,0.01999999999999602
ES,1999,107.41,100.0,,,,,-7.409999999999997
ES,2000,100.0,95.62,1.5,,,,-4.3799999999999955
ES,2001,95.62,97.35,1.9,,,,1.7299999999999898
ES,2002,97.35,97.54,2.6,,,,0.19000000000001194
ES,2003,97.54,94.84,2.9,,,,-2.700000000000003
ES,2004,94.84,95.02,2.9,,,,0.1799999999999926
ES,2005,95.02,86.81,3.1,,,,-8.209999999999994
ES,2006,86.81,88.89,3.7,,,,2.0799999999999983
ES,2007,88.89,93.75,4.0,,,,4.859999999999999
ES,2008,93.75,88.37,5.3,,,,-5.3799999999999955
ES,2009,88.37,83.75,6.6,,,,-4.6200000000000045
ES,2010,83.75,89.86,6.7,,,,6.109999999999999
ES,2011,89.86,84.47,7.5,,28.0,,-5.390000000000001
ES,2012,84.47,79.74,7.49,,28.0,,-4.730000000000004
ES,2013,79.74,78.8,6.85,3.041027011773359,28.0,40.92464769519085,-0.9399999999999977
ES,2014,78.8,77.53,7.26,3.343757153681224,28.0,46.74636366027512,-1.269999999999996
ES,2015,77.53,78.04,8.24,3.23121319120196,28.1,44.695850633172,0.5100000000000051
ES,2016,78.04,74.55,8.48,3.230583427421437,28.1,41.23872149907228,-3.490000000000009
ES,2017,74.55,69.73,8.73,3.0195138565562254,28.1,44.97036580301753,-4.819999999999993
ES,2018,69.73,72.39,9.28,3.0212915426922917,28.1,42.70299327615052,2.6599999999999966
ES,2019,72.39,71.15,9.66,3.0851587458548164,28.1,41.49290610487755,-1.2399999999999949
ES,2020,71.15,70.77,9.98,3.101123323741755,28.1,43.352365065482886,-0.38000000000000966
ES,2021,70.77,69.23,10.79,3.1192591439943653,28.1,42.17428870943965,-1.539999999999992
ES,2022,69.23,72.64,10.83,2.282191687621013,28.1,30.13343690024975,3.4099999999999966
ES,2023,72.64,,12.03,2.127373153112943,28.1,31.08262915895141,
FI,1990,114.31,118.7,,,,,4.390000000000001
FI,1991,118.7,123.53,,,,,4.829999999999998
FI,1992,123.53,104.57,,,,,-18.960000000000008
FI,1993,104.57,114.56,,,,,9.990000000000009
FI,1994,114.56,116.21,,,,,1.6499999999999915
FI,1995,116.21,100.28,,,,,-15.929999999999993
FI,1996,100.28,104.21,,,,,3.9299999999999926
FI,1997,104.21,109.14,,,,,4.930000000000007
FI,1998,109.14,100.28,,,,,-8.86
FI,1999,100.28,100.0,,,,,-0.28000000000000114
FI,2000,100.0,103.93,6.7,,,,3.930000000000007
FI,2001,103.93,98.49,6.7,,,,-5.440000000000012
FI,2002,98.49,97.55,7.6,,,,-0.9399999999999977
FI,2003,97.55,90.19,7.1,,,,-7.359999999999999
FI,2004,90.19,97.56,7.2,,,,7.3700000000000045
FI,2005,97.56,87.34,6.5,,,,-10.219999999999999
FI,2006,87.34,100.98,6.3,,,,13.64
FI,2007,100.98,92.29,6.6,,,,-8.689999999999998
FI,2008,92.29,88.52,6.5,,,,-3.7700000000000102
FI,2009,88.52,87.02,7.2,,,,-1.5
FI,2010,87.02,97.82,7.4,,,,10.799999999999997
FI,2011,97.82,82.21,8.2,,12.9,,-15.61
FI,2012,82.21,91.55,8.65,,13.0,,9.340000000000003
FI,2013,91.55,90.5,9.07,1.4498839989373948,13.0,61.16001062605154,-1.0499999999999972
FI,2014,90.5,93.63,9.29,1.5462491178546225,13.0,65.00220536344389,3.1299999999999955
FI,2015,93.63,90.4,9.91,1.7637588527691022,13.0,63.114855056525755,-3.2299999999999898
FI,2016,90.4,80.56,10.47,2.0187302703890966,13.0,60.728951417894045,-9.840000000000003
FI,2017,80.56,75.48,11.41,1.9214457354106154,13.2,61.15130710324795,-5.079999999999998
FI,2018,75.48,73.61,13.09,2.1574985694792903,13.2,60.91157181213962,-1.8700000000000045
FI,2019,73.61,83.69,13.48,1.7741899023660832,13.2,64.56064737443927,10.079999999999998
FI,2020,83.69,87.08,13.93,2.1660533039647576,13.2,61.372687224669605,3.3900000000000006
FI,2021,87.08,75.58,14.45,1.8076552028218695,13.3,64.28880070546737,-11.5
FI,2022,75.58,85.86,14.98,1.4680872749735263,13.3,47.13598658665725,10.280000000000001
FI,2023,85.86,84.49,13.52,1.4344621426050124,13.4,62.06869925873632,-1.3700000000000045
FI,2024,84.49,,13.49,1.5125889494439275,,70.49381895520403,
FR,1990,93.3,74.6,,,,,-18.700000000000003
FR,1991,74.6,83.4,,,,,8.800000000000011
FR,1992,83.4,74.6,,,,,-8.800000000000011
FR,1993,74.6,77.8,,,,,3.200000000000003
FR,1994,77.8,74.7,,,,,-3.0999999999999943
FR,1995,74.7,74.2,,,,,-0.5
FR,1996,74.2,82.0,,,,,7.799999999999997
FR,1997,82.0,79.5,,,,,-2.5
FR,1998,79.5,69.5,,,,,-10.0
FR,1999,69.5,100.0,,,,,30.5
FR,2000,100.0,72.7,1.2,,,,-27.299999999999997
FR,2001,72.7,65.38,1.4,,,,-7.320000000000007
FR,2002,65.38,69.54,1.7,,,,4.160000000000011
FR,2003,69.54,70.25,1.9,,,,0.7099999999999937
FR,2004,70.25,78.97,1.8,,,,8.719999999999999
FR,2005,78.97,71.36,1.9,,,,-7.609999999999999
FR,2006,71.36,73.7,1.7,,,,2.3400000000000034
FR,2007,73.7,71.64,1.9,,,,-2.0600000000000023
FR,2008,71.64,67.5,2.0,,,,-4.140000000000001
FR,2009,67.5,61.79,1.9,,,,-5.710000000000001
FR,2010,61.79,63.77,2.9,,,,1.980000000000004
FR,2011,63.77,63.62,3.4,,23.0,,-0.15000000000000568
FR,2012,63.62,61.39,3.55,,23.1,,-2.229999999999997
FR,2013,61.39,57.9,3.66,2.302531019492251,23.1,71.89220454826086,-3.490000000000002
FR,2014,57.9,61.57,3.87,2.58792781526814,23.5,74.91307167042031,3.6700000000000017
FR,2015,61.57,53.29,4.55,2.3047301228440715,23.9,76.08314406661819,-8.280000000000001
FR,2016,53.29,51.05,5.28,2.494853646438539,23.9,76.659823461222,-2.240000000000002
FR,2017,51.05,49.9,5.99,2.443608003759457,24.1,77.48466651291272,-1.1499999999999986
FR,2018,49.9,47.44,7.01,2.9206604870693074,25.7,78.27673532525307,-2.460000000000001
FR,2019,47.44,50.7,7.72,1.8903974367543361,26.8,73.97970763849436,3.260000000000005
FR,2020,50.7,53.93,8.77,2.252447441099822,27.7,70.11473053742327,3.229999999999997
FR,2021,53.93,,9.56,2.4367218217192095,28.0,68.07837461011353,
HU,1999,101.41,100.0,,,,,-1.4099999999999966
HU,2000,100.0,98.29,,,,,-1.7099999999999937
HU,2001,98.29,96.41,,,,,-1.8800000000000097
HU,2002,96.41,94.24,1.6,,,,-2.1700000000000017
HU,2003,94.24,91.88,2.0,,,,-2.3599999999999994
HU,2004,91.88,89.54,2.3,,,,-2.339999999999989
HU,2005,89.54,86.74,2.2,,,,-2.8000000000000114
HU,2006,86.74,83.57,2.1,,,,-3.1700000000000017
HU,2007,83.57,80.89,1.8,,,,-2.6799999999999926
HU,2008,80.89,78.35,2.1,,,,-2.5400000000000063
HU,2009,78.35,75.82,2.4,,,,-2.530000000000001
HU,2010,75.82,74.34,2.4,,,,-1.4799999999999898
HU,2011,74.34,74.81,2.3,,22.2,,0.46999999999999886
HU,2012,74.81,76.48,2.45,,22.2,,1.6700000000000017
HU,2013,76.48,77.87,2.45,1.4544797920591463,22.2,62.830759665766536,1.3900000000000006
HU,2014,77.87,79.09,2.34,1.6832351345790546,22.2,63.8196509735705,1.2199999999999989
HU,2015,79.09,80.6,2.43,1.7748565870811472,22.2,70.76415191388678,1.509999999999991
HU,2016,80.6,81.26,3.48,1.825371800552256,22.2,75.52295114760412,0.6600000000000108
HU,2017,81.26,80.96,3.73,1.82244258521602,22.2,79.30751007047463,-0.30000000000001137
HU,2018,80.96,80.24,3.92,1.597194121015461,22.2,79.39641976278963,-0.7199999999999989
HU,2019,80.24,78.98,5.71,1.4718801322906778,22.2,78.33118624659103,-1.259999999999991
HU,2020,78.98,77.14,6.03,1.7365542990227856,22.2,89.06816490191841,-1.8400000000000034
HU,2021,77.14,74.84,5.81,1.7584811675952314,22.2,90.37534090841571,-2.299999999999997
HU,2022,74.84,72.12,6.31,1.6882642367227247,22.2,64.06608870213834,-2.719999999999999
HU,2023,72.12,,6.3,1.2664980097302079,22.2,52.258096220944516,
IE,1998,88.41,92.09,,,,,3.680000000000007
IE,1999,92.09,100.0,,,,,7.909999999999997
IE,2000,100.0,97.68,0.6,,,,-2.319999999999993
IE,2001,97.68,98.56,0.7,,,,0.8799999999999955
IE,2002,98.56,91.34,0.7,,,,-7.219999999999999
IE,2003,91.34,98.97,0.7,,,,7.6299999999999955
IE,2004,98.97,101.77,0.7,,,,2.799999999999997
IE,2005,101.77,103.87,0.8,,,,2.1000000000000085
IE,2006,103.87,106.88,0.9,,,,3.009999999999991
IE,2007,106.88,108.67,1.0,,,,1.7900000000000063
IE,2008,108.67,105.34,1.0,,,,-3.3299999999999983
IE,2009,105.34,101.45,1.1,,,,-3.8900000000000006
IE,2010,101.45,103.02,1.1,,,,1.5699999999999932
IE,2011,103.02,100.26,1.1,,13.8,,-2.759999999999991
IE,2012,100.26,96.73,1.16,,13.8,,-3.530000000000001
IE,2013,96.73,106.69,1.2,0.6505672631118178,13.8,78.84599923173815,9.959999999999994
IE,2014,106.69,108.59,1.16,0.7509197425527054,13.8,74.30095534982465,1.9000000000000057
IE,2015,108.59,107.37,1.65,0.7907085807396574,13.8,74.69222314752751,-1.2199999999999989
IE,2016,107.37,,1.72,0.6977354345535655,13.8,76.01694725279653,
IT,2000,100.0,98.3,6.7,,,,-1.7000000000000028
IT,2001,98.3,98.0,8.0,,,,-0.29999999999999716
IT,2002,98.0,94.7,7.6,,,,-3.299999999999997
IT,2003,94.7,91.8,7.0,,,,-2.9000000000000057
IT,2004,91.8,85.9,6.4,,,,-5.8999999999999915
IT,2005,85.9,86.6,7.3,,,,0.6999999999999886
IT,2006,86.6,91.9,7.9,,,,5.300000000000011
IT,2007,91.9,91.7,7.9,,,,-0.20000000000000284
IT,2008,91.7,89.5,7.5,,,,-2.200000000000003
IT,2009,89.5,84.8,8.1,,,,-4.700000000000003
IT,2010,84.8,92.4,8.6,,,,7.6000000000000085
IT,2011,92.4,86.1,8.4,,21.3,,-6.300000000000011
IT,2012,86.1,81.8,9.3,,21.4,,-4.299999999999997
IT,2013,81.8,81.9,10.6,4.462820457106068,21.4,46.866409142121356,0.10000000000000853
IT,2014,81.9,77.7,10.91,4.656817804821484,21.4,45.680514773803765,-4.200000000000003
